url,thumbnail,title,Date,author,visualizationType
http://bl.ocks.org/mbostock/7833311,http://bl.ocks.org/mbostock/raw/7833311/thumbnail.png,Dynamic Hexbin,"December 7, 2013",mike bostock,
http://bl.ocks.org/mbostock/7809166,http://bl.ocks.org/mbostock/raw/7809166/thumbnail.png,Cluster Dendrogram II,"December 5, 2013",mike bostock,
http://bl.ocks.org/mbostock/7782500,http://bl.ocks.org/mbostock/raw/7782500/thumbnail.png,Rotating Icosahedron,"December 4, 2013",mike bostock,
http://bl.ocks.org/mbostock/7755778,http://bl.ocks.org/mbostock/raw/7755778/thumbnail.png,Dynamic Simplification IV,"December 3, 2013",mike bostock,
http://bl.ocks.org/mbostock/7621155,http://bl.ocks.org/mbostock/raw/7621155/thumbnail.png,Natural Log Scale,"November 24, 2013",mike bostock,
http://bl.ocks.org/mbostock/7608400,http://bl.ocks.org/mbostock/raw/7608400/thumbnail.png,Voronoi Arc Map,"November 23, 2013",mike bostock,Voronoi
http://bl.ocks.org/mbostock/7607999,http://bl.ocks.org/mbostock/raw/7607999/thumbnail.png,Hierarchical Edge Bundling,"November 23, 2013",mike bostock,
http://bl.ocks.org/mbostock/7607535,http://bl.ocks.org/mbostock/raw/7607535/thumbnail.png,Zoomable Circle Packing,"November 23, 2013",mike bostock,
http://bl.ocks.org/mbostock/7606141,http://bl.ocks.org/mbostock/raw/7606141/thumbnail.png,Infinite Queue,"November 23, 2013",mike bostock,
http://bl.ocks.org/mbostock/7586334,http://bl.ocks.org/mbostock/raw/7586334/thumbnail.png,Parallel Coordinates,"November 21, 2013",mike bostock,
http://bl.ocks.org/mbostock/7555321,http://bl.ocks.org/mbostock/raw/7555321/thumbnail.png,Wrapping Long Labels,"November 20, 2013",mike bostock,
http://bl.ocks.org/mbostock/7452541,http://bl.ocks.org/mbostock/raw/7452541/thumbnail.png,Bar Chart III,"November 13, 2013",mike bostock,Bar Chart
http://bl.ocks.org/mbostock/7441121,http://bl.ocks.org/mbostock/raw/7441121/thumbnail.png,Bar Chart III,"November 13, 2013",mike bostock,Bar Chart
http://bl.ocks.org/mbostock/7440840,http://bl.ocks.org/mbostock/raw/7440840/thumbnail.png,Bar Chart III,"November 13, 2013",mike bostock,Bar Chart
http://bl.ocks.org/mbostock/7367177,http://bl.ocks.org/mbostock/raw/7367177/thumbnail.png,Range Transition,"November 8, 2013",mike bostock,
http://bl.ocks.org/mbostock/7341714,http://bl.ocks.org/mbostock/raw/7341714/thumbnail.png,Bar Chart II,"November 7, 2013",mike bostock,Bar Chart
http://bl.ocks.org/mbostock/7331275,http://bl.ocks.org/mbostock/raw/7331275/thumbnail.png,Bar Chart II,"November 6, 2013",mike bostock,Bar Chart
http://bl.ocks.org/mbostock/7331260,http://bl.ocks.org/mbostock/raw/7331260/thumbnail.png,Bar Chart II,"November 6, 2013",mike bostock,Bar Chart
http://bl.ocks.org/mbostock/7328809,http://bl.ocks.org/mbostock/raw/7328809/thumbnail.png,Bar Chart II,"November 6, 2013",mike bostock,Bar Chart
http://bl.ocks.org/mbostock/7322386,http://bl.ocks.org/mbostock/raw/7322386/thumbnail.png,Bar Chart I,"November 5, 2013",mike bostock,Bar Chart
http://bl.ocks.org/mbostock/7280327,http://bl.ocks.org/mbostock/raw/7280327/thumbnail.png,Shiboronoi,"November 2, 2013",mike bostock,
http://bl.ocks.org/mbostock/7061976,http://bl.ocks.org/mbostock/raw/7061976/thumbnail.png,Virginia Counties,"October 20, 2013",mike bostock,
http://bl.ocks.org/mbostock/6909550,http://bl.ocks.org/mbostock/raw/6909550/thumbnail.png,Non-Computed Style Tween,"October 10, 2013",mike bostock,
http://bl.ocks.org/mbostock/6909318,http://bl.ocks.org/mbostock/raw/6909318/thumbnail.png,Voronoi Labels,"October 10, 2013",mike bostock,Voronoi
http://bl.ocks.org/mbostock/6905926,http://bl.ocks.org/mbostock/raw/6905926/thumbnail.png,Snowflake Simplification,"October 10, 2013",mike bostock,
http://bl.ocks.org/mbostock/6804753,http://bl.ocks.org/mbostock/raw/6804753/thumbnail.png,Delaunay Force Mesh,"October 3, 2013",mike bostock,Force Layout
http://bl.ocks.org/mbostock/6747043,http://bl.ocks.org/mbostock/raw/6747043/thumbnail.png,See-Through Globe II,"September 29, 2013",mike bostock,See-Through Globe
http://bl.ocks.org/mbostock/6746848,http://bl.ocks.org/mbostock/raw/6746848/thumbnail.png,See-Through Globe,"September 29, 2013",mike bostock,See-Through Globe
http://bl.ocks.org/mbostock/6738360,http://bl.ocks.org/mbostock/raw/6738360/thumbnail.png,Floating Landmasses,"September 28, 2013",mike bostock,
