url,thumbnail,title,Date,author,visualizationType
http://bl.ocks.org/mbostock/6738229,http://bl.ocks.org/mbostock/raw/6738229/thumbnail.png,Superscript Format II,"September 28, 2013",mike bostock,
http://bl.ocks.org/mbostock/6738109,http://bl.ocks.org/mbostock/raw/6738109/thumbnail.png,Superscript Format,"September 28, 2013",mike bostock,
http://bl.ocks.org/mbostock/6713736,http://bl.ocks.org/mbostock/raw/6713736/thumbnail.png,Ocean,"September 26, 2013",mike bostock,
http://bl.ocks.org/mbostock/6675193,http://bl.ocks.org/mbostock/raw/6675193/thumbnail.png,Canvas Voronoi,"September 24, 2013",mike bostock,Voronoi
http://bl.ocks.org/mbostock/6645441,http://bl.ocks.org/mbostock/raw/6645441/thumbnail.png,Treemap Padding,"September 21, 2013",mike bostock,treemap
http://bl.ocks.org/mbostock/6619561,http://bl.ocks.org/mbostock/raw/6619561/thumbnail.png,Rotating Orthographic,"September 19, 2013",mike bostock,
http://bl.ocks.org/mbostock/6618724,http://bl.ocks.org/mbostock/raw/6618724/thumbnail.png,Subsecond Ticks,"September 19, 2013",mike bostock,
http://bl.ocks.org/mbostock/6499018,http://bl.ocks.org/mbostock/raw/6499018/thumbnail.png,Smooth Slider,"September 9, 2013",mike bostock,
http://bl.ocks.org/mbostock/6498580,http://bl.ocks.org/mbostock/raw/6498580/thumbnail.png,Click-to-Recenter Brush II,"September 9, 2013",mike bostock,
http://bl.ocks.org/mbostock/6498000,http://bl.ocks.org/mbostock/raw/6498000/thumbnail.png,Click-to-Recenter Brush,"September 9, 2013",mike bostock,
http://bl.ocks.org/mbostock/6466603,http://bl.ocks.org/mbostock/raw/6466603/thumbnail.png,Save SVG as PNG,"September 6, 2013",mike bostock,
http://bl.ocks.org/mbostock/6452972,http://bl.ocks.org/mbostock/raw/6452972/thumbnail.png,Brush as Slider,"September 5, 2013",mike bostock,
http://bl.ocks.org/mbostock/6409844,http://bl.ocks.org/mbostock/raw/6409844/thumbnail.png,Arc Deduplication,"September 2, 2013",mike bostock,
http://bl.ocks.org/mbostock/6409668,http://bl.ocks.org/mbostock/raw/6409668/thumbnail.png,Ring Cutting,"September 2, 2013",mike bostock,
http://bl.ocks.org/mbostock/6409154,http://bl.ocks.org/mbostock/raw/6409154/thumbnail.png,Simple Junctions,"September 2, 2013",mike bostock,
http://bl.ocks.org/mbostock/6408918,http://bl.ocks.org/mbostock/raw/6408918/thumbnail.png,Junction Finding,"September 2, 2013",mike bostock,
http://bl.ocks.org/mbostock/6408735,http://bl.ocks.org/mbostock/raw/6408735/thumbnail.png,Ring Extraction,"September 2, 2013",mike bostock,
http://bl.ocks.org/mbostock/6406992,http://bl.ocks.org/mbostock/raw/6406992/thumbnail.png,U.S. State Mesh,"September 2, 2013",mike bostock,U.S Analysis
http://bl.ocks.org/mbostock/6320825,http://bl.ocks.org/mbostock/raw/6320825/thumbnail.png,Population Choropleth,"August 23, 2013",mike bostock,
http://bl.ocks.org/mbostock/6301872,http://bl.ocks.org/mbostock/raw/6301872/thumbnail.png,Map Zooming III,"August 22, 2013",mike bostock,
http://bl.ocks.org/mbostock/6301817,http://bl.ocks.org/mbostock/raw/6301817/thumbnail.png,Map Zooming II,"August 22, 2013",mike bostock,
http://bl.ocks.org/mbostock/6287633,http://bl.ocks.org/mbostock/raw/6287633/thumbnail.png,Dynamic Simplification III,"August 21, 2013",mike bostock,
http://bl.ocks.org/mbostock/6264239,http://bl.ocks.org/mbostock/raw/6264239/thumbnail.png,Plant Hardiness Zones,"August 19, 2013",mike bostock,
http://bl.ocks.org/mbostock/6262722,http://bl.ocks.org/mbostock/raw/6262722/thumbnail.png,OPHZ Zooming,"August 18, 2013",mike bostock,
http://bl.ocks.org/mbostock/6252418,http://bl.ocks.org/mbostock/raw/6252418/thumbnail.png,Dynamic Simplification II,"August 17, 2013",mike bostock,
http://bl.ocks.org/mbostock/6245977,http://bl.ocks.org/mbostock/raw/6245977/thumbnail.png,Dynamic Simplification,"August 16, 2013",mike bostock,
http://bl.ocks.org/mbostock/6242308,http://bl.ocks.org/mbostock/raw/6242308/thumbnail.png,Map Zooming,"August 15, 2013",mike bostock,
http://bl.ocks.org/mbostock/6238040,http://bl.ocks.org/mbostock/raw/6238040/thumbnail.png,Zoom Transitions,"August 15, 2013",mike bostock,
http://bl.ocks.org/mbostock/6232620,http://bl.ocks.org/mbostock/raw/6232620/thumbnail.png,Brush Snapping II,"August 14, 2013",mike bostock,
http://bl.ocks.org/mbostock/6232537,http://bl.ocks.org/mbostock/raw/6232537/thumbnail.png,Brush Snapping,"August 14, 2013",mike bostock,
http://bl.ocks.org/mbostock/6226534,http://bl.ocks.org/mbostock/raw/6226534/thumbnail.png,Zoom Center,"August 14, 2013",mike bostock,
http://bl.ocks.org/mbostock/6225662,http://bl.ocks.org/mbostock/raw/6225662/thumbnail.png,Mitchell’s Best-Candidate,"August 14, 2013",mike bostock,
http://bl.ocks.org/mbostock/6224396,http://bl.ocks.org/mbostock/raw/6224396/thumbnail.png,Mitchell’s Best-Candidate,"August 14, 2013",mike bostock,
http://bl.ocks.org/mbostock/6224050,http://bl.ocks.org/mbostock/raw/6224050/thumbnail.png,Mitchell’s Best-Candidate,"August 13, 2013",mike bostock,
http://bl.ocks.org/mbostock/6216797,http://bl.ocks.org/mbostock/raw/6216797/thumbnail.png,Custom Cartesian Projection,"August 13, 2013",mike bostock,
http://bl.ocks.org/mbostock/6216724,http://bl.ocks.org/mbostock/raw/6216724/thumbnail.png,Brush Transitions,"August 13, 2013",mike bostock,
http://bl.ocks.org/mbostock/6186172,http://bl.ocks.org/mbostock/raw/6186172/thumbnail.png,Left-Aligned Ticks,"August 8, 2013",mike bostock,
http://bl.ocks.org/mbostock/6140181,http://bl.ocks.org/mbostock/raw/6140181/thumbnail.png,Capturing Listeners,"August 2, 2013",mike bostock,
http://bl.ocks.org/mbostock/6123708,http://bl.ocks.org/mbostock/raw/6123708/thumbnail.png,Drag + Zoom,"July 31, 2013",mike bostock,
http://bl.ocks.org/mbostock/6116436,http://bl.ocks.org/mbostock/raw/6116436/thumbnail.png,U.S. Urban Areas,"July 31, 2013",mike bostock,U.S Analysis
http://bl.ocks.org/mbostock/6081914,http://bl.ocks.org/mbostock/raw/6081914/thumbnail.png,Concurrent Transitions II,"July 25, 2013",mike bostock,
http://bl.ocks.org/mbostock/6059532,http://bl.ocks.org/mbostock/raw/6059532/thumbnail.png,Gradient Bump,"July 23, 2013",mike bostock,
http://bl.ocks.org/mbostock/5996232,http://bl.ocks.org/mbostock/raw/5996232/thumbnail.png,New York Block Groups,"July 15, 2013",mike bostock,
http://bl.ocks.org/mbostock/5977197,http://bl.ocks.org/mbostock/raw/5977197/thumbnail.png,DRY Bar Chart,"July 11, 2013",mike bostock,Bar Chart
http://bl.ocks.org/mbostock/5952814,http://bl.ocks.org/mbostock/raw/5952814/thumbnail.png,Alaska Albers,"July 9, 2013",mike bostock,Albers Analysis
http://bl.ocks.org/mbostock/5944371,http://bl.ocks.org/mbostock/raw/5944371/thumbnail.png,Bilevel Partition,"July 7, 2013",mike bostock,
http://bl.ocks.org/mbostock/5928813,http://bl.ocks.org/mbostock/raw/5928813/thumbnail.png,Great Arc,"July 4, 2013",mike bostock,
http://bl.ocks.org/mbostock/5925375,http://bl.ocks.org/mbostock/raw/5925375/thumbnail.png,Projected Choropleth,"July 4, 2013",mike bostock,
http://bl.ocks.org/mbostock/5914438,http://bl.ocks.org/mbostock/raw/5914438/thumbnail.png,Raster &amp; Vector Zoom,"July 3, 2013",mike bostock,
http://bl.ocks.org/mbostock/5912673,http://bl.ocks.org/mbostock/raw/5912673/thumbnail.png,Extradition Treaties,"July 3, 2013",mike bostock,
http://bl.ocks.org/mbostock/5872848,http://bl.ocks.org/mbostock/raw/5872848/thumbnail.png,Dispatching Events,"June 27, 2013",mike bostock,
http://bl.ocks.org/mbostock/5851933,http://bl.ocks.org/mbostock/raw/5851933/thumbnail.png,Snowden’s Route,"June 24, 2013",mike bostock,
http://bl.ocks.org/mbostock/5827353,http://bl.ocks.org/mbostock/raw/5827353/thumbnail.png,Counting Weekdays,"June 21, 2013",mike bostock,
http://bl.ocks.org/mbostock/5798874,http://bl.ocks.org/mbostock/raw/5798874/thumbnail.png,Vector Tiles,"June 17, 2013",mike bostock,Tiles
http://bl.ocks.org/mbostock/5779690,http://bl.ocks.org/mbostock/raw/5779690/thumbnail.png,"Exit, Update, Enter II","June 14, 2013",mike bostock,
http://bl.ocks.org/mbostock/5779682,http://bl.ocks.org/mbostock/raw/5779682/thumbnail.png,"Exit, Update, Enter","June 14, 2013",mike bostock,
http://bl.ocks.org/mbostock/5743979,http://bl.ocks.org/mbostock/raw/5743979/thumbnail.png,Custom Easing,"June 9, 2013",mike bostock,
http://bl.ocks.org/mbostock/5737662,http://bl.ocks.org/mbostock/raw/5737662/thumbnail.png,Kentucky Population Density,"June 9, 2013",mike bostock,
http://bl.ocks.org/mbostock/5735770,http://bl.ocks.org/mbostock/raw/5735770/thumbnail.png,No Antimeridian Cutting,"June 8, 2013",mike bostock,
http://bl.ocks.org/mbostock/5735649,http://bl.ocks.org/mbostock/raw/5735649/thumbnail.png,Albers with Resampling,"June 8, 2013",mike bostock,Albers Analysis
http://bl.ocks.org/mbostock/5735647,http://bl.ocks.org/mbostock/raw/5735647/thumbnail.png,Albers without Resampling,"June 8, 2013",mike bostock,Albers Analysis
http://bl.ocks.org/mbostock/5735626,http://bl.ocks.org/mbostock/raw/5735626/thumbnail.png,Resampling Comparison,"June 8, 2013",mike bostock,
http://bl.ocks.org/mbostock/5735623,http://bl.ocks.org/mbostock/raw/5735623/thumbnail.png,Resampling Comparison,"June 8, 2013",mike bostock,
http://bl.ocks.org/mbostock/5732029,http://bl.ocks.org/mbostock/raw/5732029/thumbnail.png,Line Simplification,"June 8, 2013",mike bostock,Sparkline
http://bl.ocks.org/mbostock/5731979,http://bl.ocks.org/mbostock/raw/5731979/thumbnail.png,Scale-Dependent Sampling,"June 8, 2013",mike bostock,
http://bl.ocks.org/mbostock/5731808,http://bl.ocks.org/mbostock/raw/5731808/thumbnail.png,Rotating Transverse,"June 8, 2013",mike bostock,
http://bl.ocks.org/mbostock/5731693,http://bl.ocks.org/mbostock/raw/5731693/thumbnail.png,Transversing Equirectangular,"June 8, 2013",mike bostock,
http://bl.ocks.org/mbostock/5731632,http://bl.ocks.org/mbostock/raw/5731632/thumbnail.png,Orthographic to Equirectangular,"June 8, 2013",mike bostock,
http://bl.ocks.org/mbostock/5731578,http://bl.ocks.org/mbostock/raw/5731578/thumbnail.png,Rotating Orthographic,"June 8, 2013",mike bostock,
http://bl.ocks.org/mbostock/5707818,http://bl.ocks.org/mbostock/raw/5707818/thumbnail.png,TopoJSON Layers,"June 4, 2013",mike bostock,
http://bl.ocks.org/mbostock/5707610,http://bl.ocks.org/mbostock/raw/5707610/thumbnail.png,TopoJSON Parallax,"June 4, 2013",mike bostock,
http://bl.ocks.org/mbostock/5699934,http://bl.ocks.org/mbostock/raw/5699934/thumbnail.png,Adaptive Resampling,"June 3, 2013",mike bostock,
http://bl.ocks.org/mbostock/5695142,http://bl.ocks.org/mbostock/raw/5695142/thumbnail.png,Cassini,"June 3, 2013",mike bostock,
http://bl.ocks.org/mbostock/5682158,http://bl.ocks.org/mbostock/raw/5682158/thumbnail.png,"Pie Chart Update, V","May 31, 2013",mike bostock,Pie Chart
http://bl.ocks.org/mbostock/5681974,http://bl.ocks.org/mbostock/raw/5681974/thumbnail.png,"Pie Chart Update, IV","May 31, 2013",mike bostock,Pie Chart
http://bl.ocks.org/mbostock/5681842,http://bl.ocks.org/mbostock/raw/5681842/thumbnail.png,"Pie Chart Update, III","May 31, 2013",mike bostock,Pie Chart
http://bl.ocks.org/mbostock/5672200,http://bl.ocks.org/mbostock/raw/5672200/thumbnail.png,Hierarchical Edge Bundling,"May 29, 2013",mike bostock,
http://bl.ocks.org/mbostock/5663666,http://bl.ocks.org/mbostock/raw/5663666/thumbnail.png,Custom Projection,"May 28, 2013",mike bostock,
http://bl.ocks.org/mbostock/5649592,http://bl.ocks.org/mbostock/raw/5649592/thumbnail.png,Stroke Dash Interpolation,"May 25, 2013",mike bostock,
http://bl.ocks.org/mbostock/5629120,http://bl.ocks.org/mbostock/raw/5629120/thumbnail.png,AlbersUSA + PR,"May 22, 2013",mike bostock,Albers Analysis
http://bl.ocks.org/mbostock/5628479,http://bl.ocks.org/mbostock/raw/5628479/thumbnail.png,Tissot’s Indicatrix,"May 22, 2013",mike bostock,
http://bl.ocks.org/mbostock/5628329,http://bl.ocks.org/mbostock/raw/5628329/thumbnail.png,Ordinal Tick Filtering,"May 22, 2013",mike bostock,
http://bl.ocks.org/mbostock/5625053,http://bl.ocks.org/mbostock/raw/5625053/thumbnail.png,Chamberlin Trimetric,"May 22, 2013",mike bostock,
http://bl.ocks.org/mbostock/5620807,http://bl.ocks.org/mbostock/raw/5620807/thumbnail.png,Airy’s Minimum Error,"May 21, 2013",mike bostock,
http://bl.ocks.org/mbostock/5620764,http://bl.ocks.org/mbostock/raw/5620764/thumbnail.png,Airy’s Minimum Error,"May 21, 2013",mike bostock,
http://bl.ocks.org/mbostock/5617379,http://bl.ocks.org/mbostock/raw/5617379/thumbnail.png,"US, CA, MX and PR","May 21, 2013",mike bostock,
http://bl.ocks.org/mbostock/5616813,http://bl.ocks.org/mbostock/raw/5616813/thumbnail.png,Vector Tiles,"May 21, 2013",mike bostock,Tiles
http://bl.ocks.org/mbostock/5608230,http://bl.ocks.org/mbostock/raw/5608230/thumbnail.png,Albers Tiles,"May 19, 2013",mike bostock,Albers Analysis
http://bl.ocks.org/mbostock/5606078,http://bl.ocks.org/mbostock/raw/5606078/thumbnail.png,U.S. Rivers,"May 19, 2013",mike bostock,U.S Analysis
http://bl.ocks.org/mbostock/5593150,http://bl.ocks.org/mbostock/raw/5593150/thumbnail.png,Vector Tiles,"May 16, 2013",mike bostock,Tiles
http://bl.ocks.org/mbostock/5577023,http://bl.ocks.org/mbostock/raw/5577023/thumbnail.png,Every ColorBrewer Scale,"May 14, 2013",mike bostock,
http://bl.ocks.org/mbostock/5562380,http://bl.ocks.org/mbostock/raw/5562380/thumbnail.png,California Population Density,"May 12, 2013",mike bostock,
http://bl.ocks.org/mbostock/5557726,http://bl.ocks.org/mbostock/raw/5557726/thumbnail.png,Projected TopoJSON,"May 11, 2013",mike bostock,
http://bl.ocks.org/mbostock/5545680,http://bl.ocks.org/mbostock/raw/5545680/thumbnail.png,Albers USA,"May 9, 2013",mike bostock,Albers Analysis
http://bl.ocks.org/mbostock/5544621,http://bl.ocks.org/mbostock/raw/5544621/thumbnail.png,Marey’s Trains II,"May 9, 2013",mike bostock,Trains
http://bl.ocks.org/mbostock/5544008,http://bl.ocks.org/mbostock/raw/5544008/thumbnail.png,Marey’s Trains,"May 9, 2013",mike bostock,Trains
http://bl.ocks.org/mbostock/5537697,http://bl.ocks.org/mbostock/raw/5537697/thumbnail.png,Log Axis,"May 8, 2013",mike bostock,
http://bl.ocks.org/mbostock/5537671,http://bl.ocks.org/mbostock/raw/5537671/thumbnail.png,Log Axis with Zero,"May 8, 2013",mike bostock,
http://bl.ocks.org/mbostock/5503544,http://bl.ocks.org/mbostock/raw/5503544/thumbnail.png,Gist API Latency,"May 2, 2013",mike bostock,
http://bl.ocks.org/mbostock/5455427,http://bl.ocks.org/mbostock/raw/5455427/thumbnail.png,csv2tsv,"April 25, 2013",mike bostock,
http://bl.ocks.org/mbostock/5448729,http://bl.ocks.org/mbostock/raw/5448729/thumbnail.png,Skybox,"April 24, 2013",mike bostock,
http://bl.ocks.org/mbostock/5446416,http://bl.ocks.org/mbostock/raw/5446416/thumbnail.png,Milky Way,"April 24, 2013",mike bostock,
http://bl.ocks.org/mbostock/5445849,http://bl.ocks.org/mbostock/raw/5445849/thumbnail.png,Hello WebGL IV,"April 23, 2013",mike bostock,
http://bl.ocks.org/mbostock/5445604,http://bl.ocks.org/mbostock/raw/5445604/thumbnail.png,Hello WebGL III,"April 23, 2013",mike bostock,
http://bl.ocks.org/mbostock/5445238,http://bl.ocks.org/mbostock/raw/5445238/thumbnail.png,Hello WebGL II,"April 23, 2013",mike bostock,
http://bl.ocks.org/mbostock/5440492,http://bl.ocks.org/mbostock/raw/5440492/thumbnail.png,Hello WebGL,"April 23, 2013",mike bostock,
http://bl.ocks.org/mbostock/5423680,http://bl.ocks.org/mbostock/raw/5423680/thumbnail.png,Hashing Points,"April 20, 2013",mike bostock,
http://bl.ocks.org/mbostock/5417216,http://bl.ocks.org/mbostock/raw/5417216/thumbnail.png,"One System, Every Kepler Planet","April 19, 2013",mike bostock,
http://bl.ocks.org/mbostock/5416440,http://bl.ocks.org/mbostock/raw/5416440/thumbnail.png,Merging States II,"April 19, 2013",mike bostock,
http://bl.ocks.org/mbostock/5416405,http://bl.ocks.org/mbostock/raw/5416405/thumbnail.png,Merging States,"April 19, 2013",mike bostock,
http://bl.ocks.org/mbostock/5415941,http://bl.ocks.org/mbostock/raw/5415941/thumbnail.png,Kepler’s Tally,"April 19, 2013",mike bostock,
http://bl.ocks.org/mbostock/5413933,http://bl.ocks.org/mbostock/raw/5413933/thumbnail.png,Albers Siberia,"April 18, 2013",mike bostock,Albers Analysis
http://bl.ocks.org/mbostock/5397710,http://bl.ocks.org/mbostock/raw/5397710/thumbnail.png,Lorenz Toy,"April 16, 2013",mike bostock,
http://bl.ocks.org/mbostock/5385402,http://bl.ocks.org/mbostock/raw/5385402/thumbnail.png,Lorenz System,"April 15, 2013",mike bostock,
http://bl.ocks.org/mbostock/5369146,http://bl.ocks.org/mbostock/raw/5369146/thumbnail.png,How selectAll Works,"April 12, 2013",mike bostock,
http://bl.ocks.org/mbostock/5349951,http://bl.ocks.org/mbostock/raw/5349951/thumbnail.png,Ohio State Plane (N),"April 10, 2013",mike bostock,
http://bl.ocks.org/mbostock/5348789,http://bl.ocks.org/mbostock/raw/5348789/thumbnail.png,Concurrent Transitions,"April 10, 2013",mike bostock,
http://bl.ocks.org/mbostock/5342063,http://bl.ocks.org/mbostock/raw/5342063/thumbnail.png,Raster &amp; Vector Zoom,"April 9, 2013",mike bostock,
http://bl.ocks.org/mbostock/5323061,http://bl.ocks.org/mbostock/raw/5323061/thumbnail.png,GeoJOIN,"April 6, 2013",mike bostock,
http://bl.ocks.org/mbostock/5288590,http://bl.ocks.org/mbostock/raw/5288590/thumbnail.png,Ginzburg IX,"April 2, 2013",mike bostock,Ginzburg
http://bl.ocks.org/mbostock/5288583,http://bl.ocks.org/mbostock/raw/5288583/thumbnail.png,Ginzburg VIII,"April 2, 2013",mike bostock,Ginzburg
http://bl.ocks.org/mbostock/5288577,http://bl.ocks.org/mbostock/raw/5288577/thumbnail.png,Ginzburg VI,"April 2, 2013",mike bostock,Ginzburg
http://bl.ocks.org/mbostock/5288571,http://bl.ocks.org/mbostock/raw/5288571/thumbnail.png,Ginzburg V,"April 2, 2013",mike bostock,Ginzburg
http://bl.ocks.org/mbostock/5288565,http://bl.ocks.org/mbostock/raw/5288565/thumbnail.png,Ginzburg IV,"April 2, 2013",mike bostock,Ginzburg
http://bl.ocks.org/mbostock/5249328,http://bl.ocks.org/mbostock/raw/5249328/thumbnail.png,Hexagon Mesh,"March 27, 2013",mike bostock,
http://bl.ocks.org/mbostock/5247027,http://bl.ocks.org/mbostock/raw/5247027/thumbnail.png,Mouseenter,"March 26, 2013",mike bostock,
http://bl.ocks.org/mbostock/5234763,http://bl.ocks.org/mbostock/raw/5234763/thumbnail.png,Gall Stereographic,"March 25, 2013",mike bostock,
http://bl.ocks.org/mbostock/5230580,http://bl.ocks.org/mbostock/raw/5230580/thumbnail.png,Van der Grinten III,"March 24, 2013",mike bostock,
http://bl.ocks.org/mbostock/5230571,http://bl.ocks.org/mbostock/raw/5230571/thumbnail.png,Van der Grinten II,"March 24, 2013",mike bostock,
http://bl.ocks.org/mbostock/5230564,http://bl.ocks.org/mbostock/raw/5230564/thumbnail.png,Times,"March 24, 2013",mike bostock,
http://bl.ocks.org/mbostock/5230202,http://bl.ocks.org/mbostock/raw/5230202/thumbnail.png,Rectangular Polyconic,"March 24, 2013",mike bostock,
http://bl.ocks.org/mbostock/5180185,http://bl.ocks.org/mbostock/raw/5180185/thumbnail.png,Zipdecode,"March 17, 2013",mike bostock,
http://bl.ocks.org/mbostock/5144735,http://bl.ocks.org/mbostock/raw/5144735/thumbnail.png,Kentucky Population Density,"March 12, 2013",mike bostock,
http://bl.ocks.org/mbostock/5126418,http://bl.ocks.org/mbostock/raw/5126418/thumbnail.png,New Jersey State Plane,"March 10, 2013",mike bostock,
http://bl.ocks.org/mbostock/5100636,http://bl.ocks.org/mbostock/raw/5100636/thumbnail.png,Arc Tween,"March 6, 2013",mike bostock,
http://bl.ocks.org/mbostock/5050837,http://bl.ocks.org/mbostock/raw/5050837/thumbnail.png,EPSG:2163 Coordinates,"February 28, 2013",mike bostock,
http://bl.ocks.org/mbostock/5044313,http://bl.ocks.org/mbostock/raw/5044313/thumbnail.png,Gray Earth,"February 27, 2013",mike bostock,
http://bl.ocks.org/mbostock/4987520,http://bl.ocks.org/mbostock/raw/4987520/thumbnail.png,Constrained Zoom,"February 19, 2013",mike bostock,
http://bl.ocks.org/mbostock/4968288,http://bl.ocks.org/mbostock/raw/4968288/thumbnail.png,New Jersey Blocks,"February 17, 2013",mike bostock,
http://bl.ocks.org/mbostock/4965670,http://bl.ocks.org/mbostock/raw/4965670/thumbnail.png,One-Way Markers,"February 16, 2013",mike bostock,
http://bl.ocks.org/mbostock/4965422,http://bl.ocks.org/mbostock/raw/4965422/thumbnail.png,Zip Codes,"February 16, 2013",mike bostock,
http://bl.ocks.org/mbostock/4751960,http://bl.ocks.org/mbostock/raw/4751960/thumbnail.png,Streams,"February 11, 2013",mike bostock,
http://bl.ocks.org/mbostock/4736806,http://bl.ocks.org/mbostock/raw/4736806/thumbnail.png,Metropolitan Unemployment ,"February 8, 2013",mike bostock,
http://bl.ocks.org/mbostock/4731228,http://bl.ocks.org/mbostock/raw/4731228/thumbnail.png,Fahey,"February 7, 2013",mike bostock,
http://bl.ocks.org/mbostock/4712128,http://bl.ocks.org/mbostock/raw/4712128/thumbnail.png,The Sun’s View of the Earth,"February 5, 2013",mike bostock,
http://bl.ocks.org/mbostock/4707858,http://bl.ocks.org/mbostock/raw/4707858/thumbnail.png,Project to Bounding Box,"February 4, 2013",mike bostock,
http://bl.ocks.org/mbostock/4699541,http://bl.ocks.org/mbostock/raw/4699541/thumbnail.png,Zoom to Bounding Box,"February 3, 2013",mike bostock,
http://bl.ocks.org/mbostock/4695821,http://bl.ocks.org/mbostock/raw/4695821/thumbnail.png,Transverse Mercator,"February 2, 2013",mike bostock,
http://bl.ocks.org/mbostock/4687713,http://bl.ocks.org/mbostock/raw/4687713/thumbnail.png,Iceland Topography,"February 1, 2013",mike bostock,
http://bl.ocks.org/mbostock/4679202,http://bl.ocks.org/mbostock/raw/4679202/thumbnail.png,Stacked-to-Multiples,"January 31, 2013",mike bostock,Bar Chart
